Dataset,SubmissionDateTime,PublishTime,SettlementDate,Region,GspGroupId,ForecastDemand60,ForecastDemand100
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,South East,N/A,7232,12053
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,South West,N/A,4645,7741
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,Midlands,N/A,4804,8007
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,North East,N/A,3166,5277
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,North West,N/A,3075,5125
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,South Scotland,N/A,1476,2461
RZDF,2025-12-28T09:00:00Z,2025-12-28T09:00:06Z,2025-12-29,North Scotland,N/A,125,208
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,South East,N/A,6664,11106
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,South West,N/A,4280,7133
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,Midlands,N/A,4427,7378
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,North East,N/A,2917,4862
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,North West,N/A,2834,4723
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,South Scotland,N/A,1360,2267
RZDF,2025-12-27T17:00:00Z,2025-12-27T17:00:04Z,2025-12-28,North Scotland,N/A,115,192
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,South East,N/A,6688,11146
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,South West,N/A,4295,7159
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,Midlands,N/A,4443,7404
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,North East,N/A,2928,4880
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,North West,N/A,2844,4740
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,South Scotland,N/A,1365,2275
RZDF,2025-12-27T11:45:00Z,2025-12-27T11:45:05Z,2025-12-28,North Scotland,N/A,116,193
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,South East,N/A,6816,11359
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,South West,N/A,4377,7296
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,Midlands,N/A,4528,7546
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,North East,N/A,2984,4973
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,North West,N/A,2898,4830
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,South Scotland,N/A,1391,2319
RZDF,2025-12-27T09:00:00Z,2025-12-27T09:00:05Z,2025-12-28,North Scotland,N/A,118,196
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,South East,N/A,6224,10373
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,South West,N/A,3997,6662
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,Midlands,N/A,4134,6891
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,North East,N/A,2725,4541
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,North West,N/A,2647,4411
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,South Scotland,N/A,1270,2117
RZDF,2025-12-26T17:00:00Z,2025-12-26T17:00:04Z,2025-12-27,North Scotland,N/A,108,179
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,South East,N/A,6084,10140
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,South West,N/A,3908,6513
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,Midlands,N/A,4042,6736
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,North East,N/A,2663,4439
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,North West,N/A,2587,4312
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,South Scotland,N/A,1242,2070
RZDF,2025-12-26T11:45:00Z,2025-12-26T11:45:04Z,2025-12-27,North Scotland,N/A,105,175
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,South East,N/A,6021,10036
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,South West,N/A,3867,6445
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,Midlands,N/A,4000,6667
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,North East,N/A,2636,4393
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,North West,N/A,2560,4267
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,South Scotland,N/A,1229,2049
RZDF,2025-12-26T09:00:00Z,2025-12-26T09:00:06Z,2025-12-27,North Scotland,N/A,104,174
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,South East,N/A,4354,7256
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,South West,N/A,2796,4660
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,Midlands,N/A,2892,4820
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,North East,N/A,1906,3177
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,North West,N/A,1851,3085
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,South Scotland,N/A,889,1481
RZDF,2025-12-25T17:00:00Z,2025-12-25T17:00:04Z,2025-12-26,North Scotland,N/A,75,125
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,South East,N/A,4227,7045
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,South West,N/A,2715,4525
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,Midlands,N/A,2808,4680
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,North East,N/A,1851,3084
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,North West,N/A,1798,2996
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,South Scotland,N/A,863,1438
RZDF,2025-12-25T11:45:00Z,2025-12-25T11:45:04Z,2025-12-26,North Scotland,N/A,73,122
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,South East,N/A,4336,7227
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,South West,N/A,2785,4641
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,Midlands,N/A,2880,4801
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,North East,N/A,1898,3164
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,North West,N/A,1844,3073
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,South Scotland,N/A,885,1475
RZDF,2025-12-25T09:00:00Z,2025-12-25T09:00:04Z,2025-12-26,North Scotland,N/A,75,125
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,South East,N/A,5154,8591
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,South West,N/A,3310,5517
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,Midlands,N/A,3424,5707
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,North East,N/A,2256,3761
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,North West,N/A,2192,3653
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,South Scotland,N/A,1052,1754
RZDF,2025-12-24T17:00:00Z,2025-12-24T17:00:05Z,2025-12-25,North Scotland,N/A,89,149
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,South East,N/A,5227,8712
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,South West,N/A,3357,5595
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,Midlands,N/A,3473,5788
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,North East,N/A,2288,3814
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,North West,N/A,2223,3705
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,South Scotland,N/A,1067,1778
